Datacenter,URL,IP v4 addresses,IP v6 range in DB
Hostwinds.com,https://www.hostwinds.com/,"292,864",Yes
GoGrid,https://www.datapipe.com/gogrid/,"291,584",
NAVER Corp,https://www.navercorp.com/,"284,672",
Aruba S.p.a,https://www.aruba.it/,"284,192",Yes
"Quadranet, Inc",https://www.quadranet.com/,"282,624",Yes
HostMySite.com,http://www.webmysite.com/,"280,320",
Baidu Inc.,http://www.baidu.com/,"277,513",
iWeb Technologies Inc.,https://iweb.com/,"258,308",
Yandex Llc.,https://www.yandex.com/,"245,578",Yes
It7 Networks Inc,https://www.it7.net/,"244,224",Yes
M247 Ltd,https://m247.com/,"237,761",Yes
Fortress Integrated Technologies,https://www.dedicatednow.com/,"237,568",
"Imperva, Inc.",https://www.imperva.com/,"228,096",
KW Datacenter CA,http://www.kwdatacentre.com/,"220,160",Yes
Yahoo! JAPAN,https://about.yahoo.co.jp/,"218,880",
DediPath,https://dedipath.com/,"211,440",
Hostway,https://hostway.com/,"210,944",
Krypt,https://www.krypt.com/,"208,896",
home.pl S.A.,https://home.pl/,"204,064",Yes
sPD Hosting LTD.,https://www.spd.co.il/,"203,236",
latisys,http://www.latisys.com/,"202,752",
GHOSTnet GmbH,http://www.ghostnet.de/,"202,494",
Daou Technology,http://www.daouidc.com/,"197,632",
"Meta, Inc. (formerly Facebook, Inc.)",http://meta.com/,"192,832",Yes
Liquid Web,https://www.liquidweb.com/,"192,512",
WebsiteWelcome.com,http://www.websitewelcome.com/,"192,512",
Pair Networks,http://www.pair.com/,"188,416",
Zenlayer,https://www.zenlayer.com/,"186,756",
Input Output Flood LLC,https://ioflood.com/,"186,368",
Claranet limited,https://www.claranet.com/,"183,847",
"Equinix, Inc.",http://www.equinix.com/,"182,524",Yes
MULTACOM Inc.,http://multacom.com/,"181,248",
Layered Technologies Inc,http://www.layeredtech.com/,"178,176",
"Phoenix NAP, LLC",https://phoenixnap.com/,"176,144",
Savvis,http://www.savvis.net/,"176,128",
Strato AG,https://www.strato.de/,"175,616",
"Fastly, Inc.",https://www.fastly.com/,"174,080",
ServerCentral,http://www.servercentral.net/,"172,032",
Dreamhost,https://www.dreamhost.com/,"167,944",Yes
IP Exchange GmbH,http://www.ip-exchange.de/,"165,376",
ServiHosting Networks S.L.,http://servihosting.es/,"163,840",
Peak10,http://www.peak10.com/,"155,912",
"Newtek Technology Solutions, Inc",https://www.newtekwebhosting.com/,"155,648",
Fasthosts Internet Ltd,https://www.fasthosts.co.uk/,"152,864",Yes
Datapipe,http://www.datapipe.com/,"151,040",
xservers.ro,http://www.xservers.ro/,"150,528",
"Gmo Internet, Inc",https://www.gmo.jp/,"148,992",Yes
American Internet Services,http://americanis.net/,"147,456",
GZ Systems (PureVPN),https://www.purevpn.com/,"146,166",
hosting.ua,http://hosting.ua/,"144,384",
Colocation America Inc,http://www.colocationamerica.com/,"143,360",
"HostStore, Inc.",http://www.hoststore.com/,"143,360",
"Wholesale Internet, Inc",https://www.wholesaleinternet.net/,"141,312",
"Zscaler, Inc.",https://www.zscaler.com/,"140,032",
colo4dallas.com,http://colo4dallas.com/,"138,752",
LayerHost.com,https://www.layerhost.com/,"135,488",
XT Global Networks LTD,http://www.xtglobal.vg/,"133,816",
Transip Bv.,https://www.transip.eu/,"133,248",Yes
1000dedi.net,http://www.1000dedi.net/,"131,072",
Webair Internet Development Inc,https://www.webair.com/,"126,976",
G-Core Labs S.A.,https://gcorelabs.com/,"124,448",Yes
Optimate Server,http://optimate-server.de/,"122,880",
Redstation Limited,http://redstation.com/,"121,535",Yes
Selectel Ltd.,https://selectel.ru/,"121,072",
Sharktech Inc.,https://sharktech.net/,"120,832",Yes
The Endurance International Group Inc,http://www.enduranceinternational.com/,"116,544",
Web2Objects GmbH,http://web2objects.com/,"113,664",
DataCamp Limited,https://datacamp.co.uk/,"113,053",Yes
Steadfast,https://www.steadfast.net/,"112,640",
"Stackpath, LLC",https://www.stackpath.com/,"112,304",
kinx.net,https://www.kinx.net/,"110,592",
trueserver.nl,http://trueserver.nl/,"109,824",
myLoc,https://www.myloc.de/,"107,121",Yes
Media Temple,https://mediatemple.net/,"106,608",
"LightEdge Solutions, Inc.",https://www.lightedge.com/,"106,497",
cari.net,http://cari.net/,"106,496",
iomart Hosting Ltd,http://www.rapidswitch.com/,"105,728",
Xneelo (Pty) Ltd,https://www.xneelo.com/,"105,472",
HopOne,http://www.hopone.net/,"102,400",
Mail.ru Llc,https://corp.mail.ru/,"102,400",Yes
accelerated.de,http://accelerated.de/,"99,840",
BuyVM (frantech),https://buyvm.net/,"98,304",Yes
Nazwa.pl Sp.z.o.o,https://www.nazwa.pl/,"98,304",
Voxel,http://www.voxel.net/,"97,535",
root S.A.,http://www.site.lu/,"94,720",
WebNX Inc.,https://webnx.com/,"94,384",
Limestone Networks,https://www.limestonenetworks.com/,"91,500",Yes
CASABLANCA INT a.s.,https://www.casablanca.cz/,"91,152",
"TierPoint, LLC",http://www.tierpoint.com/,"91,136",
Radore Hosting,http://radore.com/,"90,112",
Performive LLC,https://performive.com/,"88,832",Yes
Canaca-com Inc.,http://canaca.com,"86,016",
NetworkLayer Technologies,http://networklayertech.net/,"86,016",
"Nexeon Technologies, Inc",https://nexeon.com/,"86,016",Yes
THG company,https://www.thgingenuity.com/,"84,952",
Limelight Networks Inc,http://www.limelight.com/,"84,480",
XLHost.com Inc,https://www.xlhost.com/,"84,480",
Hivelocity Hosting,https://www.hivelocity.net/,"84,225",
"A2 Hosting, Inc.",https://www.a2hosting.com/,"81,664",
LinkedIn Inc.,http://www.linkedin.com/,"80,896",Yes
Peak Web Hosting,http://www.peakwebhosting.com/,"80,384",
Internet Vikings AB,https://internetvikings.com/,"79,752",
demos,http://demos.ru/,"78,592",
BlueConnex,http://www.simplytransit.net/,"78,080",
Masterhost.ru,https://masterhost.ru/,"78,080",
"INMOTION HOSTING, INC.",https://www.inmotionhosting.com/,"77,800",
ANEXIA Internetdienstleistungs GmbH,https://www.anexia.com/,"76,864",Yes
VersaWeb,https://versaweb.com/,"73,984",Yes
Data 102,http://data102.com/,"73,728",
Datapoint,http://www.datapointinc.com/,"73,728",
panamaserver.com,http://panamaserver.com/,"72,960",
Webcentral Pty Ltd,https://www.webcentral.com.au/,"71,680",
"Interserver, Inc.",https://www.interserver.net/,"70,672",
"Green House Data, Inc",https://www.greenhousedata.com/,"70,656",
ServInt,http://www.servint.net/,"70,656",
UK2 Group,https://www.uk2group.com/,"69,904",
MojoHost,http://www.mojohost.com,"69,632",
Krakowskie e-Centrum Informatyczne,https://www.kei.pl/,"67,584",
Powerhouse Management,https://www.phmgmt.com/,"66,048",
xTom GmbH,https://xtom.com/,"65,664",
Cisco,https://www.cisco.com/,"65,536",
Google,https://www.google.com/,"65,536",Yes
LogicWeb Inc.,https://www.logicweb.com/,"65,536",
Star-Hosting e.K.,http://star-hosting.de/,"65,536",
WebARENA,https://web.arena.ne.jp/,"65,536",
Razor,http://www.razorservers.com/,"63,488",
LINK11 Gmbh,http://www.link11.de/,"61,440",
"Nodes Direct Holdings, LLC",http://www.nodesdirect.com/,"61,440",
Portlane,http://www.portlane.com/,"61,440",Yes
"Servers.com, Inc",https://www.servers.com/,"61,440",
domainfactory GmbH,https://www.df.eu/,"61,312",Yes
Gorilla Servers,https://www.gorillaservers.com/,"60,416",
acens Technologies,http://www.acens.com/,"59,392",
"QuickPacket, LLC",https://www.quickpacket.com/,"58,880",
FirstVDS,https://firstvds.ru/,"58,370",Yes
netcup GmbH,https://www.netcup.de/,"58,368",Yes
Tsohost,https://www.tsohost.com/,"58,368",Yes
KnownHost LLC,https://www.knownhost.com/,"58,159",
Arsys internet S.L.,https://www.arsys.es/,"58,040",
cyberwurx.com,https://cyberwurx.com/,"57,344",
K&k Corporation Ltd,http://www.kandk.co.jp/,"56,344",
Hostinger,http://www.hostinger.com/,"55,551",Yes
Servers Australia,https://www.serversaustralia.com.au/,"54,527",Yes
DimeNOC,http://dimenoc.com/,"53,248",
Handy Networks LLC,https://www.handynetworks.com/,"53,248",Yes
Jumpline Inc,http://www.jumpline.com/,"53,248",
thorn.net,http://www.thorn.net/,"53,248",
NFOrce Entertainment B.V.,https://www.nforce.com/,"52,806",
RamNode LLC,http://www.ramnode.com/,"52,224",Yes
Staminus Communications,http://staminus.net/,"52,224",
Hydra Communications Ltd.,https://zare.com/,"51,872",
GigeNET,https://www.gigenet.com/,"51,718",
TE Bilişim,http://www.tebilisim.com/,"50,432",
simcentric,http://simcentric.com/,"50,176",
KEYWEB AG,https://www.keyweb.de/,"49,696",Yes
Reliable Hosting,http://reliablehosting.com/,"48,704",
UK Dedicated Servers LTD,https://www.ukservers.com/,"48,136",Yes
UpCloud,https://www.upcloud.com/,"47,104",Yes
EasyHost BVBA,http://www.easyhost.be/,"46,112",
"IPC (IP Converge Data Services, Inc.)",https://www.ipc.ph/,"46,080",
SYN LTD.,https://syn.one/,"45,824",Yes
Gandi SAS,https://www.gandi.net/,"45,568",Yes
KVC Hosting LLC,https://www.kvchosting.net/,"45,568",
ColoStore,http://colostore.com/,"45,056",
Oz Servers Pty Ltd.,https://www.ozservers.com.au/,"45,056",
Pulsant Ltd,https://www.pulsant.com/,"45,056",Yes
Bytemark Limited,https://www.bytemark.co.uk/,"44,848",Yes
Ikoula Sas,https://www.ikoula.com/,"44,255",
Incero LLC.,https://www.incero.com/,"44,032",Yes
wiredtree,http://www.wiredtree.com/,"44,032",
Afrihost (Pty) Ltd,https://www.afrihost.com/,"42,752",
BlazingSEO,https://blazingseollc.com/,"42,240",
Solar VPS LLC,http://www.solarvps.com/,"42,240",
Crucial Paradigm Pty. Ltd,http://www.crucialp.com/,"41,984",
Ecritel,http://www.ecritel.fr/,"41,984",
Nano IT SIA,https://www.nano.lv/,"41,984",Yes
Cloud South,http://www.cloudsouth.com/,"41,472",
First Colo GmbH,https://www.first-colo.net/,"41,216",
NYI,https://www.nyi.net/,"41,216",
"Web.com, Inc",http://www.web.com/,"40,962",
Lunar Pages,http://www.lunarpages.com/,"40,960",
Netelligent,http://www.netelligent.ca/en/ca,"40,960",
Unbelievable Machine,http://www.unbelievable-machine.com/,"40,960",
avantehosting.net,https://avantehosting.net/,"39,936",
Master Internet,https://www.master.cz/,"39,936",Yes
TimeWeb Co. LTD,https://timeweb.com/,"39,936",Yes
Gyron Internet Ltd,https://www.gyron.net/,"39,424",
Infobox,https://infobox.ru/,"38,912",
"Packet Host, Inc.",https://www.packet.com/,"38,144",
Joyent Inc.,https://www.joyent.com/,"37,888",
SWITCH Communications Group LLC,http://www.switchnap.com/,"37,888",
ISPpro Internet KG,http://isppro.de/,"37,248",Yes
Reflected Networks,http://reflected.net/,"37,164",
Carat Networks,http://www.caratnetworks.com/,"36,864",
Cyberverse,http://www.cyberverse.com/,"36,864",
westhost,http://www.westhost.com/,"36,864",
velia.net Internetdienste GmbH,https://www.velia.net/,"36,618",
"Vivid-Hosting, LLC",https://vivid-hosting.net/,"35,840",
Netinternet Bilisim Teknolojileri AS,https://www.netinternet.com.tr/,"35,328",
Seeweb S.r.l,https://www.seeweb.it/,"34,920",Yes
Voxility,https://www.voxility.com/,"34,912",
Atlantic Metro,https://www.atlanticmetro.net/,"34,816",
Turnkey Internet,https://turnkeyinternet.net/,"34,816",Yes
iomart Group plc,http://www.iomart.com/,"34,352",
"Nexcess.Net, LLC",https://www.nexcess.net/,"34,304",
Datasoft Networks Inc.,http://datasoft.ws/,"34,048",
HostRoyale Technologies Pvt Ltd,https://www.hostroyale.com/,"34,048",Yes
"HostDime.com, Inc.",https://www.hostdime.com/,"33,800",
prolocation.net,https://prolocation.net/,"33,784",Yes
AdvancedHosters,https://advancedhosters.com/,"32,768",
"Bigtip, Inc",http://www.bigtip.com/,"32,768",
Data Foundry,http://www.datafoundry.com/,"32,768",
datahouse.nl,http://datahouse.nl/,"32,768",
EdgeUno Inc.,https://edgeuno.com/,"32,768",
Global Data Service JSC,http://www.gds.vn/,"32,768",
"High Speed Web, Inc.",http://www.highspeedweb.net/,"32,768",
i3d.net,http://i3d.net/,"32,768",
ipHouse,http://www.iphouse.com/,"32,768",
"Line Corporation, Ltd.",http://line.me/,"32,768",
LogicWorks,http://www.logicworks.net/,"32,768",
Netgroup Denmark,https://www.netgroup.dk/,"32,768",
netriplex,http://www.netriplex.com/,"32,768",
"Packetexchange, Inc",https://packetexchange.eu/,"32,768",
Servercentric,http://servecentric.com/,"32,768",
Take 2 Hosting,http://www.take2hosting.com/,"32,768",
travailsystems.com,http://travailsystems.com/,"32,768",
VPLS,https://www.vpls.com/,"32,768",
webvisions.com,http://webvisions.com/,"32,768",
Core-Backbone GmbH,http://www.core-backbone.com/,"32,512",Yes
EDIS GmbH,http://www.edis.at/,"31,778",Yes
Easyspace Ltd,https://www.easyspace.com/,"30,831",Yes
Codero,http://www.codero.com/,"30,720",
Missdomain Group AB,https://www.missgroup.com/,"30,041",
availo.no,http://www.availo.no/,"29,952",
ITL Group,https://itldc.com/,"29,824",Yes
Landis Holdings Inc.,https://www.jaguarpc.com/,"29,696",
Volume Drive,http://volumedrive.com/,"29,440",
Grid Telekom,http://grid.com.tr/,"28,928",
SuperNetwork s.r.o.,https://www.superhosting.cz/,"28,928",
Tagadab Ltd.,http://www.tagadab.com/,"28,696",Yes
ASERGO,https://asergo.com/,"28,672",Yes
Broadriver Inc.,http://www.broadriver.com/,"28,672",
Host Department LLC,http://www.hostdepartment.com/,"28,672",
Perfect IP,http://www.perfectip.net/,"28,672",
Virtacore Systems,http://www.virtacore.com/,"28,672",
CtrlS,http://www.ctrls.in/,"28,671",
AVAST,https://www.avast.com/,"28,372",
AltusHost B.V.,http://www.altushost.com/,"28,116",
AltusHost B.V.,https://www.altushost.com/,"28,116",
Infomaniak Network SA,https://www.infomaniak.com/,"27,808",
Continuum Data Centers,http://www.continuumdatacenters.com/,"27,648",
Dedicated Servers,http://dedicatedservers.net.au/,"27,648",
Omnilance Ltd.,http://www.omnilance.com/,"27,136",Yes
WorldStream,https://www.worldstream.nl/,"27,136",
basefarm.com,http://basefarm.com/,"26,880",
IBM,https://www.ibm.com/,"26,880",Yes
Silicon Valley Web Hosting,http://www.svwh.net/,"26,624",
CloudVPS (XLS Hosting),http://www.cloudvps.com/,"25,967",
Combell,http://www.combell.com/,"25,856",
"Strong Technology, LLC",https://strongtechnology.net/,"25,856",
Vpsquan,http://www.vpsquan.com/,"25,688",
Beyond.pl,https://www.beyond.pl/,"25,652",Yes
GloboTech Communications,https://www.globo.tech/,"25,600",Yes
J2 Australia Hosting Pty Ltd,https://www.web24.com.au/,"25,600",
23Media,http://www.23media.eu/,"24,576",
Cybercon,http://www.cybercon.com/,"24,576",
Hostirian,https://www.hostirian.com/,"24,576",
KingHost Hospedagem de Sites Ltda.,https://www.kinghost.com.br/,"24,576",Yes
RackForce,http://www.rockforce.com/,"24,576",
Shinjiru Technology Sdn Bhd,https://www.shinjiru.com.my/,"24,576",
"CLARA ONLINE, Inc.",https://www.clara.jp/,"24,384",
"JoeS Datacenter, LLC",https://joesdatacenter.com/,"23,552",
Digital Network JSC,http://www.di-net.ru/,"23,296",
Clouvider Ltd,https://www.clouvider.com/,"22,939",
Clouvider Ltd.,https://www.clouvider.com/,"22,939",
ZOMRO B.V.,https://zomro.net/,"22,782",
meerfarbig GmbH & Co. KG,https://meerfarbig.io/,"22,704",
Private Layer INC,https://privatelayer.com/,"22,528",Yes
Micron21,http://www.micron21.com/,"22,526",
Opera Software AS,http://www.operasoftware.com/,"21,800",Yes
"Wow Technologies, Inc.",http://wowrack.com/,"21,760",Yes
hostnet.nl,https://www.hostnet.nl/,"21,504",
Marosnet,https://marosnet.ru/,"20,992",
Mittwald,https://www.mittwald.de/,"20,992",
Swiftway,https://www.swiftway.net/,"20,592",Yes
serverboost.nl,http://serverboost.nl/,"20,544",
AIT,https://www.ait.com/,"20,480",
ethr.net,http://ethr.net/,"20,480",
Gearhost,http://www.gearhost.com/,"20,480",
ReliableSite.Net LLC,https://www.reliablesite.net/,"20,480",Yes
SunnyVision Limited.,http://www.sunnyvision.com/,"20,480",
"Namecheap, Inc.",https://www.namecheap.com/,"20,441",
DeltaHost,https://deltahost.com/,"20,224",
Trabia Network,https://www.trabia.com/,"20,224",Yes
PCextreme B.V.,https://www.pcextreme.nl/,"20,128",Yes
Hqhost.net,http://hqhost.net/en/index.html,"19,712",
colocall.net,http://colocall.net/,"19,456",
Reg.ru,https://www.reg.ru/,"19,456",Yes
"Internet Cz, a.s",https://www.forpsi.com/,"19,264",
"Automattic, Inc.",https://automattic.com/,"18,986",
EZZI.net,https://www.ezzi.net/,"18,960",
LiteServer B.V.,https://liteserver.nl/,"18,877",
mchost.ru,https://mchost.ru/,"18,688",
Melbicom,https://melbicom.net/,"18,688",Yes
Dunkel GmbH,https://dunkel.de/,"18,656",
awknet,http://awknet.com/,"18,432",
dinahosting,https://en.dinahosting.com/,"18,432",
nine.ch,http://nine.ch/,"18,432",
Rackvibe.com,http://www.rackvibe.com/,"18,432",
The Bunker,http://www.thebunker.net/,"18,432",
Web Werks,https://www.webwerks.in/,"18,430",
"Cloudroute, LLC",http://www.cloudroute.com/,"18,176",
HEKKO.PL,https://www.hekko.pl/,"18,176",Yes
GleSYS Internet Services AB,https://glesys.se/,"17,920",
Netrouting,https://www.netrouting.com/,"17,920",
ATM S.A.,http://www.atman.pl/,"17,824",Yes
Safenames Ltd.,https://safenames.net/,"17,696",
PatrikWeb,http://patrikweb.net/,"17,664",
ALL-INKL.COM,http://all-inkl.com/,"17,440",
ConnectingBytes Gbmh,http://www.connectingbytes.de/,"17,408",
PrivateSystems.net,http://privatesystems.net/,"17,408",
Digital Pacific,http://www.digitalpacific.com.au/,"16,896",
Vautron AG,http://www.vautron.de/,"16,896",
Yghost Inc,http://www.yghost.com/,"16,896",Yes
"Code200, UAB",https://www.code200.global/,"16,696",
"Wedos Internet, a.s",http://www.wedos.com/,"16,672",Yes
DONWEB (Dattatec.com SRL),http://donweb.com/,"16,640",Yes
ihc.ru,https://www.ihc.ru/,"16,640",
PacketHub S.A.,https://www.packethub.net/,"16,472",
rh-tec Business GmbH,http://rh-tec.de/,"16,432",
Rusonyx Ltd.,https://www.rusonyx.ru/,"16,385",
Snel.com B.V.,https://www.snel.com/,"16,385",Yes
1blu.de,http://www.1blu.de/,"16,384",
AccelerateBiz Inc.,http://www.acceleratebiz.com/,"16,384",
"AppNexus, Inc",https://www.appnexus.com/,"16,384",
BurstNET,http://burst.net/,"16,384",
CloudatCost,https://cloudatcost.com/,"16,384",
Colomx Llc,http://colo.mx/,"16,384",
"CORE TECHNOLOGIES SERVICES, INC.",http://www.coreitx.com/,"16,384",
DedFiberCo,http://dedfiber.com/,"16,384",
eUKhost,http://www.eukhost.com/,"16,384",
"EZ Web Hosting, Inc.",http://www.ez-web-hosting.com/,"16,384",
Hosting Concepts,http://hosting-concepts.nl/,"16,384",
KLAYER LLC,http://www.klayer.com/,"16,384",
myLoc,https://www.myloc.de/,"16,384",Yes
Netclusive GmbH,https://www.netclusive.de/,"16,384",
Ningxia Western Cloud Data Technology Co. Ltd.,http://www.nwcdcloud.cn/,"16,384",
Premia Networks Corporation,http://www.premianet.com/,"16,384",
QTS,http://www.qtsdatacenters.com/,"16,384",
Roya Hosting,http://www.royahosting.com/,"16,384",
Secure Private Network,http://www.securedprivatenetwork.net/,"16,384",
ServerBeach Dedicated Servers,http://www.serverbeach.com/,"16,384",
SV COLO,http://www.svcolo.com/,"16,384",Yes
Techie Media,http://techiemedia.net/,"16,384",
Virpus Networks,http://myvirpus.com/,"16,384",
Volico,http://www.volico.com/,"16,384",
Webhosting.net,http://www.webhosting.net/,"16,384",
HostKey,http://hostkey.com/,"15,872",
Magic Online,https://www.magic.fr/,"15,616",
colo@,http://www.coloat.com/,"15,360",
"Host Virtual, Inc",https://www.hostvirtual.com/,"15,360",Yes
Serveriai.lt,https://www.serveriai.lt/,"15,360",Yes
MSERWIS,https://www.mserwis.pl/,"15,152",Yes
Fine Group Servers LLC,https://finegroupservers.com/,"15,104",
Host-it,http://www.host-it.co.uk/,"15,104",
Flexwebhosting BV,https://www.flexwebhosting.nl/,"14,848",
Loopia AB,https://www.loopia.se/,"14,848",Yes
"A Small Orange, LLC.",https://asmallorange.com/,"14,766",
Panq BV,https://www.panq.nl/,"14,592",
Vorboss Limited,https://vorboss.com/,"14,592",
Fiber Hub Inc,https://www.fiberhub.com/,"14,336",
Titan Internet Ltd,http://www.titaninternet.co.uk/index.cfm,"14,336",
Tsukaeru.net,https://www.tsukaeru.net/,"14,336",
Confluence Networks Inc,http://confluence-networks.com/,"13,864",
Hosthatch Inc.,https://hosthatch.com/,"13,824",
VNET a.s.,https://www.vnet.sk/,"13,761",
Njalla (1337 Services LLC),https://njal.la/,"13,568",
XMission,http://xmission.com/,"13,568",
Site5.com LLC,http://www.site5.com/,"13,555",
Venyu Solutions Inc.,http://venyu.com/,"13,320",
Fastmetrics,http://fastmetrics.com/,"13,312",
Future Hosting Inc,http://vpsdatacenter.com/,"13,312",
HostRocket,http://www.hostrocket.com/,"13,312",
ihnetworks.net,http://ihnetworks.net/,"13,312",
Uniserver NL,https://www.uniserver.nl/,"13,312",
VPSCheap.NET,https://www.vpscheap.net/,"13,312",Yes
Bradler & Krantz GmbH & Co KG,https://www.providerdienste.de/,"13,096",
Caronet,https://www.caro.net/,"13,056",
"Fork Networking, Inc.",http://www.forked.net/,"13,056",Yes
nedzone.nl,https://www.nedzone.nl/,"12,800",
Slask Data Center PL,https://sldc.eu/,"12,800",
Servage GmbH,http://www.servage.net/,"12,608",
City Network Hosting AB,https://www.citynetwork.se/,"12,560",
BaCloud.com,https://www.bacloud.com/,"12,544",
"IGNUM, s.r.o.",https://www.ignum.cz/,"12,544",Yes
"US Dedicated, LLC.",https://dedicated.com/,"12,544",Yes
Xtraordinary Networks Limited,http://xtrahost.co.uk/,"12,544",
Coolhousing.net,https://www.coolhousing.net/,"12,304",Yes
"Centrilogic, Inc",http://www.centrilogic.com/,"12,296",
4rweb.com,http://4rweb.com/,"12,288",
Acenet,http://www.ace-host.net/,"12,288",
ActiveHost,http://www.activehost.com/,"12,288",
Atjeu Publishing LLC,http://www.atjeu.com/,"12,288",
Blackboard Inc.,http://www.blackboard.com/,"12,288",
CAT data center,http://www.idc.cattelecom.com/,"12,288",
China Telecom Americas,https://www.ctamericas.com/,"12,288",
DHH.si d.o.o.,https://dhh.si/,"12,288",
Edgewebhosting,http://www.edgewebhosting.net/,"12,288",
"Fevvo, Inc.",http://fevvo.com/,"12,288",
Host Depot,http://www.hostdepot.com/,"12,288",
inline.de,http://www.inline.de/,"12,288",
"Majestic Hosting Solutions, LLC",https://www.spinservers.com/,"12,288",
My-Tec.bz,http://my-tec.bz/,"12,288",
prioritycolo.com,http://prioritycolo.com/,"12,288",
redehost.com.br,http://www.redehost.com.br/,"12,288",
ServerSpace Limited,http://www.serverspace.co.uk/,"12,288",Yes
Tailor Made Servers,http://tailoredservers.com/,"12,288",
"Tzulo, Inc.",http://www.tzulo.com/,"12,288",
"Verisign, Inc.",http://www.verisign.com/,"12,288",
YourColo,http://yourcolo.com/,"12,288",
BeGet Ltd,https://beget.com/,"12,032",
Biznes-Host.pl,https://biznes-host.pl/,"12,032",
nic.at GmbH,https://www.nic.at/,"12,032",
mirohost.net,http://mirohost.net/,"11,776",
Gigas Hosting S.A.,https://gigas.com/,"11,520",
Servinus,https://serverius.net/,"11,520",Yes
VDSina.ru,https://vdsina.ru/,"11,520",
ndchost.com,http://www.ndchost.com/,"11,264",
TeraGo Networks,http://www.datacenterscanada.com/,"11,264",
VSHosting s.r.o.,https://www.vshosting.cz/,"11,264",Yes
YesUp,http://www.yesuphost.com/,"11,264",
Zoho Corporation Pvt. Ltd.,https://www.zohocorp.com/,"11,264",
Qhoster Ltd,https://www.qhoster.com/,"10,840",
HostGator.com LLC,http://www.hostgator.com/,"10,815",
Speedbone Gmbh,https://www.speedbone.de/,"10,769",
2dayhost.com,http://www.2dayhost.com/,"10,752",
DataNOC,https://www.datanoc.com/,"10,752",
Elvsoft,http://www.elvsoft.com/,"10,752",
Oktawave Sp. z o.o.,https://www.oktawave.com/,"10,752",
Oxilion BV,https://www.oxilion.nl/,"10,752",Yes
Redhosting B.V.,http://redhosting.nl/,"10,752",
Exabytes,https://www.exabytes.com/,"10,496",
Amanah Tech Inc,https://www.amanah.com/,"10,376",Yes
23VNet KFT,http://hostit.hu/,"10,240",
Alpha Mega Hosting,http://www.alphamegahosting.com/,"10,240",
